Unnamed: 0,Unnamed: 1,Unnamed: 2
Company,XTO Energy Inc,
Ticker,XOM,
CUSIP,98385XAM8 Corp,
Rating,AA-,
Issue Date,7/19/2007,
Maturity Date,8/1/2037,
Coupon ,6.75,
,,
Date,Mid Price,Mid YTM
2015-04-30 00:00:00,148.108,3.59
2015-05-01 00:00:00,146.724,3.66
2015-05-04 00:00:00,145.522,3.722
2015-05-05 00:00:00,145.123,3.742
2015-05-06 00:00:00,143.57,3.822
2015-05-07 00:00:00,145.035,3.746
2015-05-08 00:00:00,145.471,3.723
2015-05-11 00:00:00,142.716,3.867
2015-05-12 00:00:00,143.328,3.834
2015-05-13 00:00:00,142.372,3.884
2015-05-14 00:00:00,143.313,3.834
2015-05-15 00:00:00,145.43,3.724
2015-05-18 00:00:00,143.668,3.815
2015-05-19 00:00:00,143.124,3.844
2015-05-20 00:00:00,143.65,3.815
2015-05-21 00:00:00,144.69,3.761
2015-05-22 00:00:00,144.157,3.788
2015-05-26 00:00:00,145.484,3.719
2015-05-27 00:00:00,145.696,3.708
2015-05-28 00:00:00,145.084,3.739
2015-05-29 00:00:00,145.071,3.74
2015-06-01 00:00:00,144.296,3.78
2015-06-02 00:00:00,142.821,3.857
2015-06-03 00:00:00,140.824,3.963
2015-06-04 00:00:00,141.672,3.918
2015-06-05 00:00:00,140.084,4.003
2015-06-08 00:00:00,140.187,3.997
2015-06-09 00:00:00,139.314,4.045
2015-06-10 00:00:00,138.528,4.087
2015-06-11 00:00:00,140.499,3.98
2015-06-12 00:00:00,140.446,3.982
2015-06-15 00:00:00,140.899,3.958
2015-06-16 00:00:00,141.575,3.921
2015-06-17 00:00:00,141.018,3.95
2015-06-18 00:00:00,140.396,3.984
2015-06-19 00:00:00,141.976,3.899
2015-06-22 00:00:00,139.79,4.017
2015-06-23 00:00:00,139.141,4.052
2015-06-24 00:00:00,139.562,4.028
2015-06-25 00:00:00,138.73,4.074
2015-06-26 00:00:00,137.598,4.136
2015-06-29 00:00:00,139.977,4.005
2015-06-30 00:00:00,139.266,4.043
2015-07-01 00:00:00,138.153,4.105
2015-07-02 00:00:00,138.532,4.083
2015-07-06 00:00:00,140.071,3.999
2015-07-07 00:00:00,140.847,3.957
2015-07-08 00:00:00,142.129,3.887
2015-07-09 00:00:00,139.807,4.012
2015-07-10 00:00:00,138.733,4.071
2015-07-13 00:00:00,138.024,4.11
2015-07-14 00:00:00,138.789,4.068
2015-07-15 00:00:00,139.535,4.026
2015-07-16 00:00:00,139.85,4.009
2015-07-17 00:00:00,140.097,3.995
2015-07-20 00:00:00,139.941,4.004
2015-07-21 00:00:00,140.545,3.971
2015-07-22 00:00:00,140.686,3.963
2015-07-23 00:00:00,141.834,3.901
2015-07-24 00:00:00,141.96,3.894
2015-07-27 00:00:00,142.62,3.858
2015-07-28 00:00:00,142.091,3.886
2015-07-29 00:00:00,141.559,3.914
2015-07-30 00:00:00,140.797,3.955
2015-07-31 00:00:00,141.85,3.898
2015-08-03 00:00:00,142.82,3.846
2015-08-04 00:00:00,141.599,3.912
2015-08-05 00:00:00,140.64,3.963
2015-08-06 00:00:00,141.497,3.916
2015-08-07 00:00:00,142.678,3.853
2015-08-10 00:00:00,141.58,3.911
2015-08-11 00:00:00,143.206,3.824
2015-08-12 00:00:00,142.877,3.841
2015-08-13 00:00:00,142.386,3.867
2015-08-14 00:00:00,142.422,3.865
2015-08-17 00:00:00,143.646,3.8
2015-08-18 00:00:00,143.094,3.829
2015-08-19 00:00:00,143.985,3.781
2015-08-20 00:00:00,144.623,3.748
2015-08-21 00:00:00,145.181,3.719
2015-08-24 00:00:00,145.48,3.703
2015-08-25 00:00:00,143.768,3.792
2015-08-26 00:00:00,141.961,3.888
2015-08-27 00:00:00,141.716,3.901
2015-08-28 00:00:00,141.183,3.929
2015-08-31 00:00:00,140.452,3.969
2015-09-01 00:00:00,141.866,3.892
2015-09-02 00:00:00,141.041,3.936
2015-09-03 00:00:00,141.199,3.927
2015-09-04 00:00:00,142.12,3.877
2015-09-08 00:00:00,141.304,3.921
2015-09-09 00:00:00,141.538,3.908
2015-09-10 00:00:00,140.927,3.941
2015-09-11 00:00:00,141.352,3.918
2015-09-14 00:00:00,141.097,3.931
2015-09-15 00:00:00,139.209,4.034
2015-09-16 00:00:00,139.139,4.037
2015-09-17 00:00:00,140.918,3.94
2015-09-18 00:00:00,141.832,3.89
2015-09-21 00:00:00,142.252,3.868
2015-09-22 00:00:00,143.608,3.795
2015-09-23 00:00:00,143.459,3.803
2015-09-24 00:00:00,143.928,3.778
2015-09-25 00:00:00,143.65,3.792
2015-09-28 00:00:00,145.395,3.7
2015-09-29 00:00:00,146.552,3.64
2015-09-30 00:00:00,146.418,3.647
