,88732JAJ7 Corp,314275AC2 Corp,53079EAN4 Corp,53079EAN4 Corp_3,92553PAC6 Corp
Company,Time Warner Cable LLC,Macy's Retail Holdings LLC,Liberty Mutual Group Inc,Liberty Mutual Group Inc,Paramount Global
Ticker,CHTR,M,LIBMUT,LIBMUT,PARA
Rating,BB+,BB+,BB+,BB+,BB+
Issue Date,2007-10-30 00:00:00,2007-03-12 00:00:00,2007-03-07 00:00:00,2007-03-07 00:00:00,2007-10-05 00:00:00
Maturity Date,2037-05-01 00:00:00,2037-03-15 00:00:00,2037-03-15 00:00:00,2037-03-15 00:00:00,2037-10-05 00:00:00
Coupon ,6.55,6.375,7.8,7.8,6.75
Tenor (days),10776,10961,10966,10966,10958
2014-10-02 00:00:00,6.835,6.835,6.835,6.835,6.835
2014-10-03 00:00:00,6.865,6.865,6.865,6.865,6.865
2014-10-06 00:00:00,6.951,6.951,6.951,6.951,6.951
2014-10-07 00:00:00,6.963,6.963,6.963,6.963,6.963
2014-10-08 00:00:00,7.073,7.073,7.073,7.073,7.073
2014-10-09 00:00:00,7.223,7.223,7.223,7.223,7.223
2014-10-10 00:00:00,7.222,7.222,7.222,7.222,7.222
2014-10-13 00:00:00,7.221,7.221,7.221,7.221,7.221
2014-10-14 00:00:00,7.268,7.268,7.268,7.268,7.268
2014-10-15 00:00:00,7.341,7.341,7.341,7.341,7.341
2014-10-16 00:00:00,7.101,7.101,7.101,7.101,7.101
2014-10-17 00:00:00,6.984,6.984,6.984,6.984,6.984
2014-10-20 00:00:00,7.094,7.094,7.094,7.094,7.094
2014-10-21 00:00:00,6.946,6.946,6.946,6.946,6.946
2014-10-22 00:00:00,6.898,6.898,6.898,6.898,6.898
2014-10-23 00:00:00,6.976,6.976,6.976,6.976,6.976
2014-10-24 00:00:00,7.022,7.022,7.022,7.022,7.022
2014-10-27 00:00:00,7.124,7.124,7.124,7.124,7.124
2014-10-28 00:00:00,7.18,7.18,7.18,7.18,7.18
2014-10-29 00:00:00,7.192,7.192,7.192,7.192,7.192
2014-10-30 00:00:00,7.313,7.313,7.313,7.313,7.313
2014-10-31 00:00:00,7.373,7.373,7.373,7.373,7.373
2014-11-03 00:00:00,7.404,7.404,7.404,7.404,7.404
2014-11-04 00:00:00,7.539,7.539,7.539,7.539,7.539
2014-11-05 00:00:00,7.374,7.374,7.374,7.374,7.374
2014-11-06 00:00:00,7.378,7.378,7.378,7.378,7.378
2014-11-07 00:00:00,7.472,7.472,7.472,7.472,7.472
2014-11-10 00:00:00,7.373,7.373,7.373,7.373,7.373
2014-11-12 00:00:00,7.55,7.55,7.55,7.55,7.55
2014-11-13 00:00:00,7.672,7.672,7.672,7.672,7.672
2014-11-14 00:00:00,7.708,7.708,7.708,7.708,7.708
2014-11-17 00:00:00,7.776,7.776,7.776,7.776,7.776
2014-11-18 00:00:00,7.775,7.775,7.775,7.775,7.775
2014-11-19 00:00:00,7.876,7.876,7.876,7.876,7.876
2014-11-20 00:00:00,7.711,7.711,7.711,7.711,7.711
2014-11-21 00:00:00,7.54,7.54,7.54,7.54,7.54
2014-11-24 00:00:00,7.574,7.574,7.574,7.574,7.574
2014-11-25 00:00:00,7.653,7.653,7.653,7.653,7.653
2014-11-26 00:00:00,7.67,7.67,7.67,7.67,7.67
2014-11-28 00:00:00,7.967,7.967,7.967,7.967,7.967
2014-12-01 00:00:00,8.28,8.28,8.28,8.28,8.28
2014-12-02 00:00:00,8.128,8.128,8.128,8.128,8.128
2014-12-03 00:00:00,8.16,8.16,8.16,8.16,8.16
2014-12-04 00:00:00,8.339,8.339,8.339,8.339,8.339
2014-12-05 00:00:00,8.554,8.554,8.554,8.554,8.554
2014-12-08 00:00:00,8.8,8.8,8.8,8.8,8.8
2014-12-09 00:00:00,8.755,8.755,8.755,8.755,8.755
2014-12-10 00:00:00,9.028,9.028,9.028,9.028,9.028
2014-12-11 00:00:00,8.828,8.828,8.828,8.828,8.828
2014-12-12 00:00:00,8.984,8.984,8.984,8.984,8.984
2014-12-15 00:00:00,9.025,9.025,9.025,9.025,9.025
2014-12-16 00:00:00,9.165,9.165,9.165,9.165,9.165
2014-12-17 00:00:00,8.488,8.488,8.488,8.488,8.488
2014-12-18 00:00:00,8.635,8.635,8.635,8.635,8.635
2014-12-19 00:00:00,8.289,8.289,8.289,8.289,8.289
2014-12-22 00:00:00,8.202,8.202,8.202,8.202,8.202
2014-12-23 00:00:00,8.134,8.134,8.134,8.134,8.134
2014-12-24 00:00:00,8.137,8.137,8.137,8.137,8.137
2014-12-26 00:00:00,8.135,8.135,8.135,8.135,8.135
2014-12-29 00:00:00,8.193,8.193,8.193,8.193,8.193
2014-12-30 00:00:00,8.192,8.192,8.192,8.192,8.192
2014-12-31 00:00:00,8.253,8.253,8.253,8.253,8.253
2015-01-01 00:00:00,8.257,8.257,8.257,8.257,8.257
2015-01-02 00:00:00,8.186,8.186,8.186,8.186,8.186
2015-01-05 00:00:00,8.696,8.696,8.696,8.696,8.696
2015-01-06 00:00:00,8.803,8.803,8.803,8.803,8.803
2015-01-07 00:00:00,8.83,8.83,8.83,8.83,8.83
2015-01-08 00:00:00,8.776,8.776,8.776,8.776,8.776
2015-01-09 00:00:00,8.828,8.828,8.828,8.828,8.828
2015-01-12 00:00:00,9.304,9.304,9.304,9.304,9.304
2015-01-13 00:00:00,9.204,9.204,9.204,9.204,9.204
2015-01-14 00:00:00,9.359,9.359,9.359,9.359,9.359
2015-01-15 00:00:00,9.54,9.54,9.54,9.54,9.54
2015-01-16 00:00:00,9.573,9.573,9.573,9.573,9.573
2015-01-19 00:00:00,9.562,9.562,9.562,9.562,9.562
2015-01-20 00:00:00,9.722,9.722,9.722,9.722,9.722
2015-01-21 00:00:00,9.682,9.682,9.682,9.682,9.682
2015-01-22 00:00:00,9.482,9.482,9.482,9.482,9.482
2015-01-23 00:00:00,9.327,9.327,9.327,9.327,9.327
2015-01-26 00:00:00,9.139,9.139,9.139,9.139,9.139
2015-01-27 00:00:00,9.083,9.083,9.083,9.083,9.083
2015-01-28 00:00:00,9.081,9.081,9.081,9.081,9.081
2015-01-29 00:00:00,9.224,9.224,9.224,9.224,9.224
2015-01-30 00:00:00,8.976,8.976,8.976,8.976,8.976
2015-02-02 00:00:00,8.809,8.809,8.809,8.809,8.809
2015-02-03 00:00:00,8.495,8.495,8.495,8.495,8.495
2015-02-04 00:00:00,8.804,8.804,8.804,8.804,8.804
2015-02-05 00:00:00,8.668,8.668,8.668,8.668,8.668
2015-02-06 00:00:00,8.441,8.441,8.441,8.441,8.441
2015-02-09 00:00:00,8.416,8.416,8.416,8.416,8.416
2015-02-10 00:00:00,8.567,8.567,8.567,8.567,8.567
2015-02-11 00:00:00,8.806,8.806,8.806,8.806,8.806
2015-02-12 00:00:00,8.571,8.571,8.571,8.571,8.571
2015-02-13 00:00:00,8.552,8.552,8.552,8.552,8.552
2015-02-17 00:00:00,8.689,8.689,8.689,8.689,8.689
2015-02-18 00:00:00,8.681,8.681,8.681,8.681,8.681
2015-02-19 00:00:00,8.737,8.737,8.737,8.737,8.737
2015-02-20 00:00:00,8.545,8.545,8.545,8.545,8.545
2015-02-23 00:00:00,8.681,8.681,8.681,8.681,8.681
