,92976GAJ0 Corp,438516AT3 Corp,744448BZ3 Corp,737679DB3 Corp,141781AW4 Corp,89417EAD1 Corp,695114CG1 Corp,771367BZ1 Corp,641423BU1 Corp,207597DX0 Corp,84263PAQ3 Corp,341099CH0 Corp,736508BM3 Corp,494368BC6 Corp,797440BJ2 Corp,87612EAR7 Corp,74456QAR7 Corp,039483AX0 Corp,983024AN0 Corp
Company,Wells Fargo Bank NA,Honeywell International Inc,Public Service Co of Colorado,Potomac Electric Power Co,Cargill Inc,Travelers Cos Inc/The,PacifiCorp,Rochester Gas and Electric Corp,Nevada Power Co,Connecticut Light and Power Co/The,Southern Connecticut Gas Co/The,Duke Energy Florida LLC,Portland General Electric Co,Kimberly-Clark Corp,San Diego Gas & Electric Co,Target Corp,Public Service Electric and Gas Co,Archer-Daniels-Midland Co,Wyeth LLC
Ticker,WFC,HON,XEL,EXC,CARGIL,TRV,BRKHEC,AGR,BRKHEC,ES,AGR,DUK,POR,KMB,SRE,TGT,PEG,ADM,PFE
Rating,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Issue Date,2007-12-07 00:00:00,2007-03-15 00:00:00,2007-08-15 00:00:00,2007-11-16 00:00:00,2007-09-11 00:00:00,2007-05-29 00:00:00,2007-10-03 00:00:00,2007-07-17 00:00:00,2007-06-28 00:00:00,2007-03-27 00:00:00,2007-10-01 00:00:00,2007-09-18 00:00:00,2007-10-01 00:00:00,2007-07-30 00:00:00,2007-09-20 00:00:00,2007-10-05 00:00:00,2007-05-14 00:00:00,2007-12-11 00:00:00,2007-03-27 00:00:00
Maturity Date,2038-01-15 00:00:00,2037-03-15 00:00:00,2037-09-01 00:00:00,2037-11-15 00:00:00,2037-09-15 00:00:00,2037-06-15 00:00:00,2037-10-15 00:00:00,2032-07-15 00:00:00,2037-07-01 00:00:00,2037-03-01 00:00:00,2037-09-15 00:00:00,2037-09-15 00:00:00,2037-10-01 00:00:00,2037-08-01 00:00:00,2037-09-15 00:00:00,2037-10-15 00:00:00,2037-05-01 00:00:00,2038-01-15 00:00:00,2037-04-01 00:00:00
Coupon ,6.6,5.7,6.25,6.5,6.625,6.25,6.25,6.47,6.75,5.75,6.38,6.35,5.81,6.625,6.125,6.5,5.8,6.45,5.95
Tenor (days),10997,10958,10975,10957,10962,10975,10970,9130,10961,10932,10942,10955,10958,10960,10953,10968,10945,10993,10963
2017-12-01 00:00:00,139.536,80.936,137.454,80.936,80.936,134.95,80.936,80.936,80.936,122.237,127.754,80.936,123.427,80.936,131.348,80.936,80.936,131.109,80.936
2017-12-04 00:00:00,139.161,81.393,137.005,81.393,81.393,134.613,81.393,81.393,81.393,121.884,127.64,81.393,123.392,81.393,131.239,81.393,81.393,130.764,81.393
2017-12-05 00:00:00,139.739,82.232,137.263,82.232,82.232,136.098,82.232,82.232,82.232,122.3,128.041,82.232,123.778,82.232,131.739,82.232,82.232,131.14,82.232
2017-12-06 00:00:00,139.839,81.491,138.071,81.491,81.491,136.021,81.491,81.491,81.491,122.423,128.511,81.491,124.23,81.491,131.961,81.491,81.491,131.352,81.491
2017-12-07 00:00:00,139.435,81.39,137.607,81.39,81.39,135.124,81.39,81.39,81.39,122.351,128.151,81.39,123.852,81.39,131.547,81.39,81.39,130.907,81.39
