,806605AH4 Corp,532457BA5 Corp,665772CC1 Corp,557497AR5 Corp,693304AJ6 Corp,69351UAK9 Corp,12189TAZ7 Corp,65334HAG7 Corp,046353AD0 Corp
Company,Merck & Co Inc,Eli Lilly & Co,Northern States Power Co/MN,Madison Gas and Electric Co,PECO Energy Co,PPL Electric Utilities Corp,Burlington Northern Santa Fe LLC,CNOOC Petroleum North America ULC,AstraZeneca PLC
Ticker,MRK,LLY,XEL,MGEE,EXC,PPL,BNSF,CNOOC,AZN
Rating,A+,A+,A+,A+,A+,A+,A+,A+,A+
Issue Date,2007-09-17 00:00:00,2007-03-14 00:00:00,2007-06-26 00:00:00,2007-09-19 00:00:00,2007-03-19 00:00:00,2007-08-13 00:00:00,2007-04-13 00:00:00,2007-05-04 00:00:00,2007-09-12 00:00:00
Maturity Date,2037-09-15 00:00:00,2037-03-15 00:00:00,2037-07-01 00:00:00,2037-09-15 00:00:00,2037-03-15 00:00:00,2037-08-15 00:00:00,2037-05-01 00:00:00,2037-05-15 00:00:00,2037-09-15 00:00:00
Coupon ,6.55,5.55,6.2,6.247,5.7,6.45,6.15,6.4,6.45
Tenor (days),10956,10959,10963,10954,10954,10960,10976,10969,10961
2015-10-20 00:00:00,64.304,118.829,64.304,64.304,116.501,119.285,119.231,118.427,64.304
2015-10-21 00:00:00,63.964,119.709,63.964,63.964,117.493,119.691,120.101,119.087,63.964
2015-10-23 00:00:00,63.628,120.094,63.628,63.628,117.409,119.527,119.875,118.583,63.628
2015-10-26 00:00:00,62.759,120.875,62.759,62.759,117.734,120.288,120.622,119.305,62.759
2015-10-27 00:00:00,62.418,121.066,62.418,62.418,118.401,120.643,120.466,119.496,62.418
2015-10-28 00:00:00,62.809,119.779,62.809,62.809,119.057,120.384,120.387,119.386,62.809
2015-10-29 00:00:00,63.605,118.757,63.605,63.605,118.581,119.463,119.161,118.326,63.605
2015-10-30 00:00:00,64.119,119.269,64.119,64.119,118.716,119.441,119.534,118.752,64.119
2015-11-02 00:00:00,65.356,119.073,65.356,65.356,118.883,119.565,119.994,118.372,65.356
2015-11-03 00:00:00,66.786,118.579,66.786,66.786,118.346,119.109,119.256,117.913,66.786
2015-11-04 00:00:00,66.829,118.47,66.829,66.829,118.167,118.791,118.997,118.022,66.829
2015-11-05 00:00:00,64.846,118.266,64.846,64.846,118.08,118.663,118.847,117.904,64.846
2015-11-06 00:00:00,63.967,117.18,63.967,63.967,116.706,117.434,117.794,116.99,63.967
2015-11-09 00:00:00,62.482,117.622,62.482,62.482,115.961,116.654,117.726,116.548,62.482
2015-11-10 00:00:00,62.638,117.615,62.638,62.638,116.311,116.679,117.386,116.491,62.638
2015-11-12 00:00:00,61.606,118.097,61.606,61.606,116.027,116.511,117.669,117.016,61.606
2015-11-13 00:00:00,61.405,118.416,61.405,61.405,116.365,116.79,118.315,117.74,61.405
2015-11-16 00:00:00,61.525,117.924,61.525,61.525,116.463,116.86,117.733,117.041,61.525
2015-11-17 00:00:00,61.555,118.224,61.555,61.555,116.318,116.79,118.086,117.184,61.555
2015-11-18 00:00:00,62.273,118.447,62.273,62.273,115.35,117.123,118.311,117.111,62.273
2015-11-19 00:00:00,61.502,119.107,61.502,61.502,115.639,117.666,118.94,117.848,61.502
2015-11-20 00:00:00,60.188,119.07,60.188,60.188,115.357,117.505,118.901,117.816,60.188
2015-11-23 00:00:00,60.4,118.939,60.4,60.4,115.289,117.644,118.695,118.146,60.4
2015-11-24 00:00:00,61.457,118.643,61.457,61.457,116.512,117.657,118.697,117.764,61.457
2015-11-25 00:00:00,59.247,118.824,59.247,59.247,116.695,117.818,118.862,117.895,59.247
2015-11-27 00:00:00,59.438,119.109,59.438,59.438,116.731,117.83,119.05,118.107,59.438
2015-11-30 00:00:00,61.349,119.315,61.349,61.349,116.874,117.906,118.974,118.264,61.349
2015-12-01 00:00:00,62.257,120.071,62.257,62.257,117.432,118.688,119.742,118.977,62.257
2015-12-02 00:00:00,61.359,120.038,61.359,61.359,117.31,118.694,119.512,118.491,61.359
2015-12-03 00:00:00,61.401,118.053,61.401,61.401,115.789,117.083,117.77,116.092,61.401
2015-12-04 00:00:00,59.799,119.643,59.799,59.799,115.407,117.004,118.662,116.775,59.799
2015-12-07 00:00:00,57.775,119.771,57.775,57.775,115.947,117.491,119.153,116.946,57.775
2015-12-08 00:00:00,58.284,119.796,58.284,58.284,116.105,117.698,119.052,116.971,58.284
2015-12-09 00:00:00,57.728,119.644,57.728,57.728,115.88,117.481,118.914,116.879,57.728
2015-12-10 00:00:00,56.552,118.612,56.552,56.552,116.002,117.729,118.614,116.489,56.552
2015-12-11 00:00:00,53.661,119.964,53.661,53.661,116.737,118.475,119.57,118.056,53.661
2015-12-14 00:00:00,53.732,118.96,53.732,53.732,116.37,117.963,118.488,116.35,53.732
2015-12-15 00:00:00,54.676,118.212,54.676,54.676,115.77,117.271,118.096,115.73,54.676
2015-12-16 00:00:00,54.432,117.865,54.432,54.432,115.618,117.021,117.85,115.098,54.432
2015-12-17 00:00:00,52.826,118.674,52.826,52.826,116.456,117.706,118.819,115.981,52.826
2015-12-18 00:00:00,48.134,118.797,48.134,48.134,116.935,118.324,119.473,116.202,48.134
2015-12-21 00:00:00,49.592,118.855,49.592,49.592,117.011,118.48,119.578,116.802,49.592
2015-12-22 00:00:00,52.286,118.25,52.286,52.286,116.586,118.311,118.836,116.274,52.286
2015-12-23 00:00:00,58.571,118.024,58.571,58.571,115.958,117.733,118.165,116.052,58.571
2015-12-24 00:00:00,57.164,118.469,57.164,57.164,116.255,118.136,118.582,116.379,57.164
2015-12-28 00:00:00,52.524,118.577,52.524,52.524,116.548,118.415,118.838,116.242,52.524
2015-12-29 00:00:00,54.919,117.377,54.919,54.919,115.663,118.027,117.419,114.253,54.919
2015-12-30 00:00:00,53.354,117.782,53.354,53.354,115.223,117.647,117.915,114.608,53.354
2015-12-31 00:00:00,52.857,118.216,52.857,52.857,115.366,117.983,118.004,114.963,52.857
2016-01-04 00:00:00,53.427,118.588,53.427,53.427,116.014,118.16,118.311,115.315,53.427
2016-01-05 00:00:00,55.137,118.829,55.137,55.137,115.671,117.665,118.453,115.465,55.137
2016-01-06 00:00:00,53.756,119.756,53.756,53.756,116.592,118.324,119,116.136,53.756
2016-01-07 00:00:00,52.945,120.172,52.945,52.945,116.477,118.325,119.061,116.089,52.945
2016-01-08 00:00:00,52.928,120.987,52.928,52.928,116.615,118.642,119.577,116.287,52.928
2016-01-11 00:00:00,50.175,119.974,50.175,50.175,116.109,118.244,118.611,115.757,50.175
2016-01-12 00:00:00,49.398,120.95,49.398,49.398,116.492,118.805,119.465,116.536,49.398
2016-01-13 00:00:00,46.968,120.823,46.968,46.968,117.271,119.292,119.419,116.139,46.968
2016-01-14 00:00:00,49.014,120.781,49.014,49.014,116.869,119.252,119.186,115.853,49.014
2016-01-15 00:00:00,46.25,121.501,46.25,46.25,117.269,119.857,119.525,116.55,46.25
2016-01-19 00:00:00,43.691,121.271,43.691,43.691,117.242,120.014,119.58,116.854,43.691
2016-01-20 00:00:00,41.743,121.391,41.743,41.743,117.995,121.109,120.518,117.128,41.743
2016-01-21 00:00:00,43.392,120.516,43.392,43.392,117.575,120.899,119.795,116.356,43.392
2016-01-22 00:00:00,45.624,120.3,45.624,45.624,116.998,120.758,119.455,116.297,45.624
2016-01-25 00:00:00,45.94,121.146,45.94,45.94,117.301,121.124,120.303,116.848,45.94
