,136375BQ4 Corp,278058DB5 Corp,29736RAC4 Corp,20030NAV3 Corp,209111ES8 Corp,773903AE9 Corp,EG6454136 Corp,78409VAB0 Corp,665501AG7 Corp,26882PBE1 Corp,927804FB5 Corp,875127AW2 Corp,45138LAT0 Corp,195869AL6 Corp,010284AN7 Corp,373334GC9 Corp,291641BA5 Corp,90131HBK0 Corp,958587BG1 Corp,15405EAH1 Corp,826418BE4 Corp,20765QAK1 Corp,455434BL3 Corp,035229DC4 Corp,26442CAA2 Corp,59562VAP2 Corp,36962G3A0 Corp,172967EC1 Corp,59022CAJ2 Corp,74432QBD6 Corp
Company,Canadian National Railway Co,Eaton Corp,Estee Lauder Cos Inc/The,Comcast Corp,Consolidated Edison Co of New York Inc,Rockwell Automation Inc,SK Telecom Co Ltd,S&P Global Inc,Northern Natural Gas Co,ERAC USA Finance LLC,Virginia Electric and Power Co,Tampa Electric Co,Idaho Power Co,Colonial Pipeline Co,Spire Alabama Inc,Georgia Power Co,Empire District Electric Co/The,TFCF America Inc,NSTAR Electric Co,Central Maine Power Co,Sierra Pacific Power Co,Connecticut Natural Gas Corp,Indianapolis Power & Light Co,Anheuser-Busch Cos LLC,Duke Energy Carolinas LLC,Berkshire Hathaway Energy Co,General Electric Co,Citigroup Inc,Bank of America Corp,Prudential Financial Inc
Ticker,CNRCN,ETN,EL,CMCSA,ED,ROK,SKM,SPGI,BRKHEC,ENTERP,D,TE,IDA,COLPLN,ALAGAS,SO,EDE,TFCFA,ES,AGR,BRKHEC,AGR,AES,ABIBB,DUK,BRKHEC,GE,C,BAC,PRU
Rating,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-
Issue Date,2007-09-24 00:00:00,2007-03-16 00:00:00,2007-05-01 00:00:00,2007-08-23 00:00:00,2007-08-28 00:00:00,2007-12-03 00:00:00,2007-07-20 00:00:00,2007-11-02 00:00:00,2007-02-12 00:00:00,2007-10-17 00:00:00,2007-05-17 00:00:00,2007-05-25 00:00:00,2007-10-18 00:00:00,2007-08-10 00:00:00,2007-01-16 00:00:00,2007-03-13 00:00:00,2007-03-26 00:00:00,2007-07-27 00:00:00,2007-08-17 00:00:00,2007-09-17 00:00:00,2007-06-28 00:00:00,2007-10-09 00:00:00,2007-06-15 00:00:00,2007-08-24 00:00:00,2007-06-05 00:00:00,2007-07-13 00:00:00,2007-08-07 00:00:00,2007-05-29 00:00:00,2007-01-29 00:00:00,2007-12-03 00:00:00
Maturity Date,2037-11-15 00:00:00,2037-03-15 00:00:00,2037-05-15 00:00:00,2037-08-15 00:00:00,2037-08-15 00:00:00,2037-12-01 00:00:00,2027-07-20 00:00:00,2037-11-15 00:00:00,2037-02-15 00:00:00,2037-10-15 00:00:00,2037-05-15 00:00:00,2037-05-15 00:00:00,2037-10-15 00:00:00,2037-08-01 00:00:00,2037-01-15 00:00:00,2037-03-01 00:00:00,2037-04-01 00:00:00,2037-03-01 00:00:00,2037-08-15 00:00:00,2037-09-15 00:00:00,2037-07-01 00:00:00,2037-10-15 00:00:00,2037-06-01 00:00:00,2037-09-01 00:00:00,2037-06-01 00:00:00,2037-05-15 00:00:00,2037-08-07 00:00:00,2037-05-29 00:00:00,2037-01-29 00:00:00,2037-12-01 00:00:00
Coupon ,6.375,5.8,6,6.95,6.3,6.25,6.625,6.55,5.8,7,6,6.15,6.25,6.375,5.9,5.65,5.875,6.15,6.7,6.4,6.75,6.66,6.6,6.45,6.1,5.95,6.15,5.875,6.11,6.625
Tenor (days),11010,10957,10972,10950,10945,10956,7305,10971,10961,10956,10956,10948,10955,10949,10957,10946,10964,10810,10956,10956,10961,10964,10944,10966,10954,10899,10958,10958,10958,10956
2015-09-02 00:00:00,66.65,114.089,122.109,132.073,124.971,126.163,66.65,109.748,118.889,66.65,66.65,66.65,66.65,114.771,114.969,111.578,114.959,112.217,66.65,66.65,66.65,66.65,66.65,126.215,124.684,117.342,125.128,66.65,114.227,66.65
2015-09-03 00:00:00,67.768,114.217,122.25,132.89,125.479,126.303,67.768,109.867,118.761,67.768,67.768,67.768,67.768,114.663,114.46,111.737,115.018,112.787,67.768,67.768,67.768,67.768,67.768,126.325,124.823,117.474,125.23,67.768,114.768,67.768
2015-09-04 00:00:00,66.906,114.947,123.044,133.721,126.289,127.139,66.906,110.521,119.524,66.906,66.906,66.906,66.906,114.826,115.51,112.454,115.781,113.487,66.906,66.906,66.906,66.906,66.906,127.631,125.635,118.227,126.458,66.906,115.472,66.906
