,98385XAM8 Corp,341081EY9 Corp,70213HAA6 Corp,002819AC4 Corp,742718DF3 Corp
Company,XTO Energy Inc,Florida Power & Light Co,Mass General Brigham Inc,Abbott Laboratories,Procter & Gamble Co/The
Ticker,XOM,NEE,PARHC,ABT,PG
Rating,AA-,AA-,AA-,AA-,AA-
Issue Date,2007-07-19 00:00:00,2007-04-17 00:00:00,2007-06-28 00:00:00,2007-11-09 00:00:00,2007-03-05 00:00:00
Maturity Date,2037-08-01 00:00:00,2037-05-01 00:00:00,2037-07-01 00:00:00,2037-11-30 00:00:00,2037-03-05 00:00:00
Coupon ,6.75,5.85,6.259,6.15,5.55
Tenor (days),10971,10972,10961,10979,10958
2015-04-30 00:00:00,148.108,77.1,77.1,77.1,77.1
2015-05-01 00:00:00,146.724,77.881,77.881,77.881,77.881
2015-05-04 00:00:00,145.522,78.39,78.39,78.39,78.39
2015-05-05 00:00:00,145.123,80.704,80.704,80.704,80.704
2015-05-06 00:00:00,143.57,78.572,78.572,78.572,78.572
2015-05-07 00:00:00,145.035,78.973,78.973,78.973,78.973
2015-05-08 00:00:00,145.471,80.384,80.384,80.384,80.384
2015-05-11 00:00:00,142.716,81.03,81.03,81.03,81.03
2015-05-12 00:00:00,143.328,79.832,79.832,79.832,79.832
2015-05-13 00:00:00,142.372,81.567,81.567,81.567,81.567
2015-05-14 00:00:00,143.313,81.406,81.406,81.406,81.406
2015-05-15 00:00:00,145.43,81.371,81.371,81.371,81.371
2015-05-18 00:00:00,143.668,81.326,81.326,81.326,81.326
2015-05-19 00:00:00,143.124,79.898,79.898,79.898,79.898
2015-05-20 00:00:00,143.65,79.783,79.783,79.783,79.783
2015-05-21 00:00:00,144.69,80.624,80.624,80.624,80.624
2015-05-22 00:00:00,144.157,80.491,80.491,80.491,80.491
2015-05-26 00:00:00,145.484,80.433,80.433,80.433,80.433
2015-05-27 00:00:00,145.696,80.388,80.388,80.388,80.388
2015-05-28 00:00:00,145.084,79.243,79.243,79.243,79.243
2015-05-29 00:00:00,145.071,80.755,80.755,80.755,80.755
2015-06-01 00:00:00,144.296,80.614,80.614,80.614,80.614
2015-06-02 00:00:00,142.821,80.872,80.872,80.872,80.872
2015-06-03 00:00:00,140.824,80.114,80.114,80.114,80.114
2015-06-04 00:00:00,141.672,79.405,79.405,79.405,79.405
2015-06-05 00:00:00,140.084,79.84,79.84,79.84,79.84
2015-06-08 00:00:00,140.187,79.213,79.213,79.213,79.213
2015-06-09 00:00:00,139.314,78.049,78.049,78.049,78.049
2015-06-10 00:00:00,138.528,78.44,78.44,78.44,78.44
2015-06-11 00:00:00,140.499,78.201,78.201,78.201,78.201
2015-06-12 00:00:00,140.446,77.981,77.981,77.981,77.981
2015-06-15 00:00:00,140.899,76.71,76.71,76.71,76.71
2015-06-16 00:00:00,141.575,76.109,76.109,76.109,76.109
2015-06-17 00:00:00,141.018,76.323,76.323,76.323,76.323
2015-06-18 00:00:00,140.396,76.486,76.486,76.486,76.486
2015-06-19 00:00:00,141.976,76.266,76.266,76.266,76.266
2015-06-22 00:00:00,139.79,76.36,76.36,76.36,76.36
2015-06-23 00:00:00,139.141,76.611,76.611,76.611,76.611
2015-06-24 00:00:00,139.562,76.122,76.122,76.122,76.122
2015-06-25 00:00:00,138.73,74.961,74.961,74.961,74.961
2015-06-26 00:00:00,137.598,74.867,74.867,74.867,74.867
2015-06-29 00:00:00,139.977,73.616,73.616,73.616,73.616
2015-06-30 00:00:00,139.266,75.317,75.317,75.317,75.317
2015-07-01 00:00:00,138.153,75.134,75.134,75.134,75.134
2015-07-02 00:00:00,138.532,75.271,75.271,75.271,75.271
