,53079EAN4 Corp,88732JAJ7 Corp,92553PAC6 Corp,314275AC2 Corp
Company,Liberty Mutual Group Inc,Time Warner Cable LLC,Paramount Global,Macy's Retail Holdings LLC
Ticker,LIBMUT,CHTR,PARA,M
Rating,BB+,BB+,BB+,BB+
Issue Date,2007-03-07 00:00:00,2007-10-30 00:00:00,2007-10-05 00:00:00,2007-03-12 00:00:00
Maturity Date,2037-03-15 00:00:00,2037-05-01 00:00:00,2037-10-05 00:00:00,2037-03-15 00:00:00
Coupon ,7.8,6.55,6.75,6.375
Tenor (days),10966,10776,10958,10961
2014-10-02 00:00:00,99.589,127.619,99.589,99.589
2014-10-03 00:00:00,99.238,127.828,99.238,99.238
2014-10-06 00:00:00,98.264,128.071,98.264,98.264
2014-10-07 00:00:00,98.126,129.322,98.126,98.126
2014-10-08 00:00:00,96.895,128.893,96.895,96.895
2014-10-09 00:00:00,95.244,128.833,95.244,95.244
2014-10-10 00:00:00,95.256,129.526,95.256,95.256
2014-10-13 00:00:00,95.269,129.533,95.269,95.269
2014-10-14 00:00:00,94.761,130.279,94.761,94.761
2014-10-15 00:00:00,93.986,130.045,93.986,93.986
2014-10-16 00:00:00,96.578,129.616,96.578,96.578
2014-10-17 00:00:00,97.879,129.725,97.879,97.879
2014-10-20 00:00:00,96.655,130.011,96.655,96.655
2014-10-21 00:00:00,98.317,129.838,98.317,98.317
2014-10-22 00:00:00,98.854,128.132,98.854,98.854
2014-10-23 00:00:00,97.979,127.254,97.979,97.979
2014-10-24 00:00:00,97.453,126.895,97.453,97.453
2014-10-27 00:00:00,96.331,127.114,96.331,96.331
2014-10-28 00:00:00,95.71,126.004,95.71,95.71
2014-10-29 00:00:00,95.588,125.733,95.588,95.588
2014-10-30 00:00:00,94.278,125.98,94.278,94.278
2014-10-31 00:00:00,93.649,125.714,93.649,93.649
2014-11-03 00:00:00,93.324,126.085,93.324,93.324
2014-11-04 00:00:00,91.929,126.075,91.929,91.929
2014-11-05 00:00:00,93.64,125.904,93.64,93.64
2014-11-06 00:00:00,93.599,125.523,93.599,93.599
2014-11-07 00:00:00,92.612,126.194,92.612,92.612
2014-11-10 00:00:00,93.646,124.624,93.646,93.646
2014-11-12 00:00:00,91.813,122.546,91.813,91.813
2014-11-13 00:00:00,90.586,123.584,90.586,90.586
2014-11-14 00:00:00,90.219,123.591,90.219,90.219
2014-11-17 00:00:00,89.552,123.332,89.552,89.552
2014-11-18 00:00:00,89.561,123.766,89.561,89.561
2014-11-19 00:00:00,88.58,122.518,88.58,88.58
2014-11-20 00:00:00,90.199,123.467,90.199,90.199
2014-11-21 00:00:00,91.922,124.61,91.922,91.922
2014-11-24 00:00:00,91.578,124.572,91.578,91.578
2014-11-25 00:00:00,90.775,125.69,90.775,90.775
2014-11-26 00:00:00,90.603,126.557,90.603,90.603
2014-11-28 00:00:00,87.712,127.892,87.712,87.712
2014-12-01 00:00:00,84.812,126.141,84.812,84.812
2014-12-02 00:00:00,86.201,125.329,86.201,86.201
2014-12-03 00:00:00,85.904,125.589,85.904,85.904
2014-12-04 00:00:00,84.286,126.31,84.286,84.286
2014-12-05 00:00:00,82.397,125.796,82.397,82.397
2014-12-08 00:00:00,80.323,126.21,80.323,80.323
2014-12-09 00:00:00,80.696,126.817,80.696,80.696
2014-12-10 00:00:00,78.474,127.301,78.474,78.474
2014-12-11 00:00:00,80.095,127.468,80.095,80.095
2014-12-12 00:00:00,78.823,128.666,78.823,78.823
2014-12-15 00:00:00,78.494,128.161,78.494,78.494
2014-12-16 00:00:00,77.396,128.267,77.396,77.396
2014-12-17 00:00:00,82.978,128.131,82.978,82.978
2014-12-18 00:00:00,81.712,127.03,81.712,81.712
2014-12-19 00:00:00,84.739,128.326,84.739,84.739
2014-12-22 00:00:00,85.533,128.733,85.533,85.533
2014-12-23 00:00:00,86.16,127.084,86.16,86.16
2014-12-24 00:00:00,86.134,127.118,86.134,86.134
2014-12-26 00:00:00,86.153,127.545,86.153,86.153
2014-12-29 00:00:00,85.624,128.516,85.624,85.624
2014-12-30 00:00:00,85.627,128.29,85.627,85.627
2014-12-31 00:00:00,85.072,128.511,85.072,85.072
2015-01-01 00:00:00,85.043,128.463,85.043,85.043
2015-01-02 00:00:00,85.69,129.572,85.69,85.69
2015-01-05 00:00:00,81.208,131.186,81.208,81.208
2015-01-06 00:00:00,80.317,132.707,80.317,80.317
2015-01-07 00:00:00,80.096,132.199,80.096,80.096
2015-01-08 00:00:00,80.544,131.277,80.544,80.544
2015-01-09 00:00:00,80.114,132.549,80.114,80.114
2015-01-12 00:00:00,76.341,133.205,76.341,76.341
2015-01-13 00:00:00,77.114,133.081,77.114,77.114
2015-01-14 00:00:00,75.932,133.134,75.932,75.932
2015-01-15 00:00:00,74.582,135.211,74.582,74.582
2015-01-16 00:00:00,74.343,133.464,74.343,74.343
2015-01-19 00:00:00,74.425,133.651,74.425,74.425
2015-01-20 00:00:00,73.265,134.147,73.265,73.265
2015-01-21 00:00:00,73.559,132.386,73.559,73.559
2015-01-22 00:00:00,75.019,132.034,75.019,75.019
2015-01-23 00:00:00,76.185,133.099,76.185,76.185
2015-01-26 00:00:00,77.631,132.379,77.631,77.631
2015-01-27 00:00:00,78.073,132.351,78.073,78.073
2015-01-28 00:00:00,78.089,132.028,78.089,78.089
2015-01-29 00:00:00,76.976,131.476,76.976,76.976
2015-01-30 00:00:00,78.932,132.753,78.932,78.932
2015-02-02 00:00:00,80.288,132.339,80.288,80.288
2015-02-03 00:00:00,82.957,128.481,82.957,82.957
2015-02-04 00:00:00,80.333,129.629,80.333,80.333
2015-02-05 00:00:00,81.477,128.511,81.477,81.477
2015-02-06 00:00:00,83.426,126.966,83.426,83.426
2015-02-09 00:00:00,83.652,126.128,83.652,83.652
2015-02-10 00:00:00,82.334,124.068,82.334,82.334
2015-02-11 00:00:00,80.331,122.472,80.331,80.331
2015-02-12 00:00:00,82.305,122.104,82.305,82.305
2015-02-13 00:00:00,82.468,121.136,82.468,82.468
2015-02-17 00:00:00,81.304,119.871,81.304,81.304
2015-02-18 00:00:00,81.374,120.111,81.374,81.374
2015-02-19 00:00:00,80.906,118.974,80.906,80.906
2015-02-20 00:00:00,82.536,119.223,82.536,82.536
2015-02-23 00:00:00,81.382,119.877,81.382,81.382
2015-02-24 00:00:00,80.296,120.791,80.296,80.296
2015-02-25 00:00:00,79.214,121.272,79.214,79.214
2015-02-26 00:00:00,80.269,120.582,80.269,80.269
2015-02-27 00:00:00,79.537,121.239,79.537,79.537
2015-03-02 00:00:00,79.514,120.307,79.514,79.514
2015-03-03 00:00:00,78.928,120.289,78.928,78.928
2015-03-04 00:00:00,78.669,120.955,78.669,78.669
2015-03-05 00:00:00,78.506,121.13,78.506,78.506
2015-03-06 00:00:00,78.043,120.041,78.043,78.043
2015-03-09 00:00:00,77.316,120.991,77.316,77.316
2015-03-10 00:00:00,75.952,122.605,75.952,75.952
2015-03-11 00:00:00,76.578,123.082,76.578,76.578
