,EH0970051 Corp,037411AR6 Corp,62912XAC8 Corp,292505AG9 Corp,62912XAC8 Corp_4,126650BJ8 Corp,881575AC8 Corp,881575AC8 Corp_7,00817YAG3 Corp,EH0970051 Corp_9,292505AG9 Corp_10
Company,Marks & Spencer PLC,Apache Corp,NGPL PipeCo LLC,Ovintiv Inc,NGPL PipeCo LLC,CVS Health Corp,Tesco PLC,Tesco PLC,Aetna Inc,Marks & Spencer PLC,Ovintiv Inc
Ticker,MARSPE,APA,NGPLCO,OVV,NGPLCO,CVS,TSCOLN,TSCOLN,AET,MARSPE,OVV
Rating,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-
Issue Date,2007-12-06 00:00:00,2007-01-26 00:00:00,2007-12-21 00:00:00,2007-12-04 00:00:00,2007-12-21 00:00:00,2007-05-25 00:00:00,2007-11-05 00:00:00,2007-11-05 00:00:00,2007-12-04 00:00:00,2007-12-06 00:00:00,2007-12-04 00:00:00
Maturity Date,2037-12-01 00:00:00,2037-01-15 00:00:00,2037-12-15 00:00:00,2038-02-01 00:00:00,2037-12-15 00:00:00,2027-06-01 00:00:00,2037-11-15 00:00:00,2037-11-15 00:00:00,2037-12-15 00:00:00,2037-12-01 00:00:00,2038-02-01 00:00:00
Coupon ,7.125,6,7.768,6.5,7.768,6.25,6.15,6.15,6.75,7.125,6.5
Tenor (days),10953,10947,10952,11017,10952,7312,10968,10968,10969,10953,11017
2014-10-02 00:00:00,99.589,99.589,99.589,99.589,99.589,99.589,99.589,99.589,99.589,99.589,99.589
2014-10-03 00:00:00,99.238,99.238,99.238,99.238,99.238,99.238,99.238,99.238,99.238,99.238,99.238
2014-10-06 00:00:00,98.264,98.264,98.264,98.264,98.264,98.264,98.264,98.264,98.264,98.264,98.264
2014-10-07 00:00:00,98.126,98.126,98.126,98.126,98.126,98.126,98.126,98.126,98.126,98.126,98.126
2014-10-08 00:00:00,96.895,96.895,96.895,96.895,96.895,96.895,96.895,96.895,96.895,96.895,96.895
2014-10-09 00:00:00,95.244,95.244,95.244,95.244,95.244,95.244,95.244,95.244,95.244,95.244,95.244
2014-10-10 00:00:00,95.256,95.256,95.256,95.256,95.256,95.256,95.256,95.256,95.256,95.256,95.256
2014-10-13 00:00:00,95.269,95.269,95.269,95.269,95.269,95.269,95.269,95.269,95.269,95.269,95.269
2014-10-14 00:00:00,94.761,94.761,94.761,94.761,94.761,94.761,94.761,94.761,94.761,94.761,94.761
2014-10-15 00:00:00,93.986,93.986,93.986,93.986,93.986,93.986,93.986,93.986,93.986,93.986,93.986
2014-10-16 00:00:00,96.578,96.578,96.578,96.578,96.578,96.578,96.578,96.578,96.578,96.578,96.578
2014-10-17 00:00:00,97.879,97.879,97.879,97.879,97.879,97.879,97.879,97.879,97.879,97.879,97.879
2014-10-20 00:00:00,96.655,96.655,96.655,96.655,96.655,96.655,96.655,96.655,96.655,96.655,96.655
2014-10-21 00:00:00,98.317,98.317,98.317,98.317,98.317,98.317,98.317,98.317,98.317,98.317,98.317
2014-10-22 00:00:00,98.854,98.854,98.854,98.854,98.854,98.854,98.854,98.854,98.854,98.854,98.854
2014-10-23 00:00:00,97.979,97.979,97.979,97.979,97.979,97.979,97.979,97.979,97.979,97.979,97.979
2014-10-24 00:00:00,97.453,97.453,97.453,97.453,97.453,97.453,97.453,97.453,97.453,97.453,97.453
2014-10-27 00:00:00,96.331,96.331,96.331,96.331,96.331,96.331,96.331,96.331,96.331,96.331,96.331
2014-10-28 00:00:00,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71
2014-10-29 00:00:00,95.588,95.588,95.588,95.588,95.588,95.588,95.588,95.588,95.588,95.588,95.588
2014-10-30 00:00:00,94.278,94.278,94.278,94.278,94.278,94.278,94.278,94.278,94.278,94.278,94.278
2014-10-31 00:00:00,93.649,93.649,93.649,93.649,93.649,93.649,93.649,93.649,93.649,93.649,93.649
2014-11-03 00:00:00,93.324,93.324,93.324,93.324,93.324,93.324,93.324,93.324,93.324,93.324,93.324
2014-11-04 00:00:00,91.929,91.929,91.929,91.929,91.929,91.929,91.929,91.929,91.929,91.929,91.929
2014-11-05 00:00:00,93.64,93.64,93.64,93.64,93.64,93.64,93.64,93.64,93.64,93.64,93.64
2014-11-06 00:00:00,93.599,93.599,93.599,93.599,93.599,93.599,93.599,93.599,93.599,93.599,93.599
2014-11-07 00:00:00,92.612,92.612,92.612,92.612,92.612,92.612,92.612,92.612,92.612,92.612,92.612
2014-11-10 00:00:00,93.646,93.646,93.646,93.646,93.646,93.646,93.646,93.646,93.646,93.646,93.646
2014-11-12 00:00:00,91.813,91.813,91.813,91.813,91.813,91.813,91.813,91.813,91.813,91.813,91.813
2014-11-13 00:00:00,90.586,90.586,90.586,90.586,90.586,90.586,90.586,90.586,90.586,90.586,90.586
2014-11-14 00:00:00,90.219,90.219,90.219,90.219,90.219,90.219,90.219,90.219,90.219,90.219,90.219
2014-11-17 00:00:00,89.552,89.552,89.552,89.552,89.552,89.552,89.552,89.552,89.552,89.552,89.552
2014-11-18 00:00:00,89.561,89.561,89.561,89.561,89.561,89.561,89.561,89.561,89.561,89.561,89.561
2014-11-19 00:00:00,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58
2014-11-20 00:00:00,90.199,90.199,90.199,90.199,90.199,90.199,90.199,90.199,90.199,90.199,90.199
2014-11-21 00:00:00,91.922,91.922,91.922,91.922,91.922,91.922,91.922,91.922,91.922,91.922,91.922
2014-11-24 00:00:00,91.578,91.578,91.578,91.578,91.578,91.578,91.578,91.578,91.578,91.578,91.578
2014-11-25 00:00:00,90.775,90.775,90.775,90.775,90.775,90.775,90.775,90.775,90.775,90.775,90.775
2014-11-26 00:00:00,90.603,90.603,90.603,90.603,90.603,90.603,90.603,90.603,90.603,90.603,90.603
2014-11-28 00:00:00,87.712,87.712,87.712,87.712,87.712,87.712,87.712,87.712,87.712,87.712,87.712
2014-12-01 00:00:00,84.812,84.812,84.812,84.812,84.812,84.812,84.812,84.812,84.812,84.812,84.812
2014-12-02 00:00:00,86.201,86.201,86.201,86.201,86.201,86.201,86.201,86.201,86.201,86.201,86.201
2014-12-03 00:00:00,85.904,85.904,85.904,85.904,85.904,85.904,85.904,85.904,85.904,85.904,85.904
2014-12-04 00:00:00,84.286,84.286,84.286,84.286,84.286,84.286,84.286,84.286,84.286,84.286,84.286
2014-12-05 00:00:00,82.397,82.397,82.397,82.397,82.397,82.397,82.397,82.397,82.397,82.397,82.397
2014-12-08 00:00:00,80.323,80.323,80.323,80.323,80.323,80.323,80.323,80.323,80.323,80.323,80.323
2014-12-09 00:00:00,80.696,80.696,80.696,80.696,80.696,80.696,80.696,80.696,80.696,80.696,80.696
2014-12-10 00:00:00,78.474,78.474,78.474,78.474,78.474,78.474,78.474,78.474,78.474,78.474,78.474
2014-12-11 00:00:00,80.095,80.095,80.095,80.095,80.095,80.095,80.095,80.095,80.095,80.095,80.095
2014-12-12 00:00:00,78.823,78.823,78.823,78.823,78.823,78.823,78.823,78.823,78.823,78.823,78.823
2014-12-15 00:00:00,78.494,78.494,78.494,78.494,78.494,78.494,78.494,78.494,78.494,78.494,78.494
