,92976GAJ0 Corp,438516AT3 Corp,744448BZ3 Corp,737679DB3 Corp,141781AW4 Corp,89417EAD1 Corp,695114CG1 Corp,771367BZ1 Corp,641423BU1 Corp,207597DX0 Corp,84263PAQ3 Corp,341099CH0 Corp,736508BM3 Corp,494368BC6 Corp,797440BJ2 Corp,87612EAR7 Corp,74456QAR7 Corp,039483AX0 Corp,983024AN0 Corp
Company,Wells Fargo Bank NA,Honeywell International Inc,Public Service Co of Colorado,Potomac Electric Power Co,Cargill Inc,Travelers Cos Inc/The,PacifiCorp,Rochester Gas and Electric Corp,Nevada Power Co,Connecticut Light and Power Co/The,Southern Connecticut Gas Co/The,Duke Energy Florida LLC,Portland General Electric Co,Kimberly-Clark Corp,San Diego Gas & Electric Co,Target Corp,Public Service Electric and Gas Co,Archer-Daniels-Midland Co,Wyeth LLC
Ticker,WFC,HON,XEL,EXC,CARGIL,TRV,BRKHEC,AGR,BRKHEC,ES,AGR,DUK,POR,KMB,SRE,TGT,PEG,ADM,PFE
Rating,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Issue Date,2007-12-07 00:00:00,2007-03-15 00:00:00,2007-08-15 00:00:00,2007-11-16 00:00:00,2007-09-11 00:00:00,2007-05-29 00:00:00,2007-10-03 00:00:00,2007-07-17 00:00:00,2007-06-28 00:00:00,2007-03-27 00:00:00,2007-10-01 00:00:00,2007-09-18 00:00:00,2007-10-01 00:00:00,2007-07-30 00:00:00,2007-09-20 00:00:00,2007-10-05 00:00:00,2007-05-14 00:00:00,2007-12-11 00:00:00,2007-03-27 00:00:00
Maturity Date,2038-01-15 00:00:00,2037-03-15 00:00:00,2037-09-01 00:00:00,2037-11-15 00:00:00,2037-09-15 00:00:00,2037-06-15 00:00:00,2037-10-15 00:00:00,2032-07-15 00:00:00,2037-07-01 00:00:00,2037-03-01 00:00:00,2037-09-15 00:00:00,2037-09-15 00:00:00,2037-10-01 00:00:00,2037-08-01 00:00:00,2037-09-15 00:00:00,2037-10-15 00:00:00,2037-05-01 00:00:00,2038-01-15 00:00:00,2037-04-01 00:00:00
Coupon ,6.6,5.7,6.25,6.5,6.625,6.25,6.25,6.47,6.75,5.75,6.38,6.35,5.81,6.625,6.125,6.5,5.8,6.45,5.95
Tenor (days),10997,10958,10975,10957,10962,10975,10970,9130,10961,10932,10942,10955,10958,10960,10953,10968,10945,10993,10963
2017-12-01 00:00:00,3.776,8.835,3.586,8.835,8.835,3.717,8.835,8.835,8.835,4.071,4.284,8.835,4.075,8.835,3.846,8.835,8.835,4.153,8.835
2017-12-04 00:00:00,3.797,8.778,3.611,8.778,8.778,3.737,8.778,8.778,8.778,4.095,4.292,8.778,4.077,8.778,3.853,8.778,8.778,4.174,8.778
2017-12-05 00:00:00,3.764,8.675,3.596,8.675,8.675,3.649,8.675,8.675,8.675,4.067,4.266,8.675,4.052,8.675,3.822,8.675,8.675,4.151,8.675
2017-12-06 00:00:00,3.758,8.766,3.55,8.766,8.766,3.653,8.766,8.766,8.766,4.059,4.236,8.766,4.023,8.766,3.809,8.766,8.766,4.137,8.766
2017-12-07 00:00:00,3.781,8.779,3.576,8.779,8.779,3.705,8.779,8.779,8.779,4.063,4.258,8.779,4.047,8.779,3.833,8.779,8.779,4.164,8.779
