,806605AH4 Corp,532457BA5 Corp,665772CC1 Corp,557497AR5 Corp,693304AJ6 Corp,69351UAK9 Corp,12189TAZ7 Corp,65334HAG7 Corp,046353AD0 Corp
Company,Merck & Co Inc,Eli Lilly & Co,Northern States Power Co/MN,Madison Gas and Electric Co,PECO Energy Co,PPL Electric Utilities Corp,Burlington Northern Santa Fe LLC,CNOOC Petroleum North America ULC,AstraZeneca PLC
Ticker,MRK,LLY,XEL,MGEE,EXC,PPL,BNSF,CNOOC,AZN
Rating,A+,A+,A+,A+,A+,A+,A+,A+,A+
Issue Date,2007-09-17 00:00:00,2007-03-14 00:00:00,2007-06-26 00:00:00,2007-09-19 00:00:00,2007-03-19 00:00:00,2007-08-13 00:00:00,2007-04-13 00:00:00,2007-05-04 00:00:00,2007-09-12 00:00:00
Maturity Date,2037-09-15 00:00:00,2037-03-15 00:00:00,2037-07-01 00:00:00,2037-09-15 00:00:00,2037-03-15 00:00:00,2037-08-15 00:00:00,2037-05-01 00:00:00,2037-05-15 00:00:00,2037-09-15 00:00:00
Coupon ,6.55,5.55,6.2,6.247,5.7,6.45,6.15,6.4,6.45
Tenor (days),10956,10959,10963,10954,10954,10960,10976,10969,10961
2015-10-20 00:00:00,11.168,4.206,11.168,11.168,4.491,4.989,4.718,4.994,11.168
2015-10-21 00:00:00,11.228,4.15,11.228,11.228,4.426,4.961,4.66,4.949,11.228
2015-10-23 00:00:00,11.288,4.126,11.288,11.288,4.431,4.972,4.675,4.983,11.288
2015-10-26 00:00:00,11.445,4.077,11.445,11.445,4.41,4.921,4.626,4.935,11.445
2015-10-27 00:00:00,11.508,4.065,11.508,11.508,4.367,4.898,4.636,4.922,11.508
2015-10-28 00:00:00,11.437,4.145,11.437,11.437,4.324,4.915,4.641,4.929,11.437
2015-10-29 00:00:00,11.293,4.21,11.293,11.293,4.355,4.976,4.721,5,11.293
2015-10-30 00:00:00,11.202,4.177,11.202,11.202,4.346,4.977,4.697,4.971,11.202
2015-11-02 00:00:00,10.988,4.19,10.988,10.988,4.335,4.969,4.666,4.997,10.988
2015-11-03 00:00:00,10.748,4.221,10.748,10.748,4.37,4.999,4.715,5.028,10.748
2015-11-04 00:00:00,10.741,4.228,10.741,10.741,4.381,5.02,4.732,5.02,10.741
2015-11-05 00:00:00,11.076,4.241,11.076,11.076,4.386,5.029,4.741,5.028,11.076
2015-11-06 00:00:00,11.23,4.31,11.23,11.23,4.476,5.112,4.811,5.091,11.23
2015-11-09 00:00:00,11.498,4.282,11.498,11.498,4.525,5.166,4.816,5.122,11.498
2015-11-10 00:00:00,11.47,4.282,11.47,11.47,4.502,5.164,4.839,5.125,11.47
2015-11-12 00:00:00,11.662,4.251,11.662,11.662,4.521,5.175,4.819,5.089,11.662
2015-11-13 00:00:00,11.7,4.23,11.7,11.7,4.498,5.156,4.776,5.039,11.7
2015-11-16 00:00:00,11.678,4.262,11.678,11.678,4.491,5.151,4.815,5.087,11.678
2015-11-17 00:00:00,11.672,4.242,11.672,11.672,4.501,5.156,4.791,5.077,11.672
2015-11-18 00:00:00,11.538,4.228,11.538,11.538,4.565,5.133,4.776,5.082,11.538
2015-11-19 00:00:00,11.683,4.186,11.683,11.683,4.546,5.095,4.734,5.031,11.683
2015-11-20 00:00:00,11.936,4.188,11.936,11.936,4.565,5.106,4.736,5.033,11.936
2015-11-23 00:00:00,11.895,4.196,11.895,11.895,4.569,5.097,4.75,5.01,11.895
2015-11-24 00:00:00,11.692,4.214,11.692,11.692,4.487,5.095,4.749,5.036,11.692
2015-11-25 00:00:00,12.124,4.203,12.124,12.124,4.475,5.084,4.738,5.027,12.124
2015-11-27 00:00:00,12.086,4.185,12.086,12.086,4.473,5.083,4.726,5.013,12.086
2015-11-30 00:00:00,11.713,4.171,11.713,11.713,4.463,5.078,4.731,5.002,11.713
2015-12-01 00:00:00,11.543,4.124,11.543,11.543,4.426,5.025,4.68,4.953,11.543
2015-12-02 00:00:00,11.712,4.125,11.712,11.712,4.434,5.024,4.695,4.986,11.712
2015-12-03 00:00:00,11.704,4.251,11.704,11.704,4.535,5.134,4.81,5.151,11.704
2015-12-04 00:00:00,12.015,4.15,12.015,12.015,4.56,5.14,4.751,5.103,12.015
2015-12-07 00:00:00,12.429,4.142,12.429,12.429,4.524,5.106,4.718,5.091,12.429
2015-12-08 00:00:00,12.323,4.14,12.323,12.323,4.513,5.092,4.725,5.09,12.323
2015-12-09 00:00:00,12.44,4.149,12.44,12.44,4.528,5.106,4.733,5.096,12.44
2015-12-10 00:00:00,12.693,4.215,12.693,12.693,4.52,5.089,4.753,5.123,12.693
2015-12-11 00:00:00,13.354,4.129,13.354,13.354,4.471,5.038,4.69,5.015,13.354
2015-12-14 00:00:00,13.337,4.193,13.337,13.337,4.495,5.073,4.761,5.132,13.337
2015-12-15 00:00:00,13.115,4.24,13.115,13.115,4.535,5.12,4.788,5.175,13.115
2015-12-16 00:00:00,13.173,4.262,13.173,13.173,4.545,5.137,4.804,5.22,13.173
2015-12-17 00:00:00,13.558,4.21,13.558,13.558,4.489,5.09,4.739,5.157,13.558
2015-12-18 00:00:00,14.813,4.202,14.813,14.813,4.457,5.048,4.695,5.142,14.813
2015-12-21 00:00:00,14.4,4.199,14.4,14.4,4.452,5.037,4.688,5.1,14.4
2015-12-22 00:00:00,13.693,4.237,13.693,13.693,4.48,5.048,4.737,5.137,13.693
2015-12-23 00:00:00,12.268,4.251,12.268,12.268,4.522,5.088,4.782,5.152,12.268
2015-12-24 00:00:00,12.564,4.223,12.564,12.564,4.502,5.06,4.754,5.129,12.564
2015-12-28 00:00:00,13.635,4.216,13.635,13.635,4.482,5.041,4.737,5.139,13.635
2015-12-29 00:00:00,13.063,4.293,13.063,13.063,4.541,5.067,4.832,5.279,13.063
2015-12-30 00:00:00,13.432,4.266,13.432,13.432,4.57,5.093,4.798,5.253,13.432
2015-12-31 00:00:00,13.554,4.238,13.554,13.554,4.561,5.07,4.792,5.228,13.554
2016-01-04 00:00:00,13.415,4.214,13.415,13.415,4.517,5.058,4.771,5.203,13.415
2016-01-05 00:00:00,13.014,4.199,13.014,13.014,4.54,5.092,4.762,5.192,13.014
2016-01-06 00:00:00,13.338,4.14,13.338,13.338,4.478,5.047,4.725,5.145,13.338
2016-01-07 00:00:00,13.534,4.113,13.534,13.534,4.486,5.046,4.721,5.148,13.534
2016-01-08 00:00:00,13.538,4.062,13.538,13.538,4.477,5.025,4.687,5.134,13.538
2016-01-11 00:00:00,14.247,4.126,14.247,14.247,4.51,5.052,4.751,5.171,14.247
2016-01-12 00:00:00,14.46,4.064,14.46,14.46,4.485,5.014,4.694,5.117,14.46
2016-01-13 00:00:00,15.168,4.072,15.168,15.168,4.433,4.98,4.696,5.144,15.168
2016-01-14 00:00:00,14.569,4.074,14.569,14.569,4.459,4.983,4.712,5.164,14.569
2016-01-15 00:00:00,15.39,4.029,15.39,15.39,4.433,4.942,4.689,5.115,15.39
2016-01-19 00:00:00,16.234,4.044,16.234,16.234,4.435,4.932,4.685,5.094,16.234
2016-01-20 00:00:00,16.942,4.036,16.942,16.942,4.385,4.859,4.623,5.075,16.942
2016-01-21 00:00:00,16.341,4.09,16.341,16.341,4.412,4.873,4.671,5.128,16.341
2016-01-22 00:00:00,15.591,4.104,15.591,15.591,4.45,4.882,4.693,5.132,15.591
2016-01-25 00:00:00,15.49,4.051,15.49,15.49,4.43,4.858,4.637,5.094,15.49
