,98385XAM8 Corp,341081EY9 Corp,70213HAA6 Corp,002819AC4 Corp,742718DF3 Corp
Company,XTO Energy Inc,Florida Power & Light Co,Mass General Brigham Inc,Abbott Laboratories,Procter & Gamble Co/The
Ticker,XOM,NEE,PARHC,ABT,PG
Rating,AA-,AA-,AA-,AA-,AA-
Issue Date,2007-07-19 00:00:00,2007-04-17 00:00:00,2007-06-28 00:00:00,2007-11-09 00:00:00,2007-03-05 00:00:00
Maturity Date,2037-08-01 00:00:00,2037-05-01 00:00:00,2037-07-01 00:00:00,2037-11-30 00:00:00,2037-03-05 00:00:00
Coupon ,6.75,5.85,6.259,6.15,5.55
Tenor (days),10971,10972,10961,10979,10958
2015-04-30 00:00:00,3.59,9.217,9.217,9.217,9.217
2015-05-01 00:00:00,3.66,9.117,9.117,9.117,9.117
2015-05-04 00:00:00,3.722,9.053,9.053,9.053,9.053
2015-05-05 00:00:00,3.742,8.767,8.767,8.767,8.767
2015-05-06 00:00:00,3.822,9.03,9.03,9.03,9.03
2015-05-07 00:00:00,3.746,8.98,8.98,8.98,8.98
2015-05-08 00:00:00,3.723,8.806,8.806,8.806,8.806
2015-05-11 00:00:00,3.867,8.729,8.729,8.729,8.729
2015-05-12 00:00:00,3.834,8.874,8.874,8.874,8.874
2015-05-13 00:00:00,3.884,8.665,8.665,8.665,8.665
2015-05-14 00:00:00,3.834,8.684,8.684,8.684,8.684
2015-05-15 00:00:00,3.724,8.688,8.688,8.688,8.688
2015-05-18 00:00:00,3.815,8.694,8.694,8.694,8.694
2015-05-19 00:00:00,3.844,8.866,8.866,8.866,8.866
2015-05-20 00:00:00,3.815,8.881,8.881,8.881,8.881
2015-05-21 00:00:00,3.761,8.778,8.778,8.778,8.778
2015-05-22 00:00:00,3.788,8.795,8.795,8.795,8.795
2015-05-26 00:00:00,3.719,8.802,8.802,8.802,8.802
2015-05-27 00:00:00,3.708,8.807,8.807,8.807,8.807
2015-05-28 00:00:00,3.739,8.948,8.948,8.948,8.948
2015-05-29 00:00:00,3.74,8.763,8.763,8.763,8.763
2015-06-01 00:00:00,3.78,8.78,8.78,8.78,8.78
2015-06-02 00:00:00,3.857,8.749,8.749,8.749,8.749
2015-06-03 00:00:00,3.963,8.841,8.841,8.841,8.841
2015-06-04 00:00:00,3.918,8.928,8.928,8.928,8.928
2015-06-05 00:00:00,4.003,8.875,8.875,8.875,8.875
2015-06-08 00:00:00,3.997,8.953,8.953,8.953,8.953
2015-06-09 00:00:00,4.045,9.099,9.099,9.099,9.099
2015-06-10 00:00:00,4.087,9.05,9.05,9.05,9.05
2015-06-11 00:00:00,3.98,9.08,9.08,9.08,9.08
2015-06-12 00:00:00,3.982,9.108,9.108,9.108,9.108
2015-06-15 00:00:00,3.958,9.273,9.273,9.273,9.273
2015-06-16 00:00:00,3.921,9.352,9.352,9.352,9.352
2015-06-17 00:00:00,3.95,9.324,9.324,9.324,9.324
2015-06-18 00:00:00,3.984,9.302,9.302,9.302,9.302
2015-06-19 00:00:00,3.899,9.332,9.332,9.332,9.332
2015-06-22 00:00:00,4.017,9.319,9.319,9.319,9.319
2015-06-23 00:00:00,4.052,9.286,9.286,9.286,9.286
2015-06-24 00:00:00,4.028,9.351,9.351,9.351,9.351
2015-06-25 00:00:00,4.074,9.507,9.507,9.507,9.507
2015-06-26 00:00:00,4.136,9.52,9.52,9.52,9.52
2015-06-29 00:00:00,4.005,9.693,9.693,9.693,9.693
2015-06-30 00:00:00,4.043,9.46,9.46,9.46,9.46
2015-07-01 00:00:00,4.105,9.485,9.485,9.485,9.485
2015-07-02 00:00:00,4.083,9.466,9.466,9.466,9.466
