,89352HAD1 Corp,013817AK7 Corp,959802AH2 Corp,959802AH2 Corp_3,EG5889142 Corp,891092AE8 Corp,013817AK7 Corp_6
Company,TransCanada PipeLines Ltd,Howmet Aerospace Inc,Western Union Co/The,Western Union Co/The,DP World Ltd/United Arab Emirates,Toro Co/The,Howmet Aerospace Inc
Ticker,TRPCN,HWM,WU,WU,DPWDU,TTC,HWM
Rating,BBB,BBB,BBB,BBB,BBB,BBB,BBB
Issue Date,2007-10-05 00:00:00,2007-01-25 00:00:00,2007-02-06 00:00:00,2007-02-06 00:00:00,2007-07-02 00:00:00,2007-04-26 00:00:00,2007-01-25 00:00:00
Maturity Date,2037-10-15 00:00:00,2037-02-01 00:00:00,2036-11-17 00:00:00,2036-11-17 00:00:00,2037-07-02 00:00:00,2037-05-01 00:00:00,2037-02-01 00:00:00
Coupon ,6.2,5.95,6.2,6.2,6.85,6.625,5.95
Tenor (days),10968,10965,10877,10877,10958,10963,10965
2017-12-08 00:00:00,3.926,3.926,5.354,6.832,4.944,4.638,5.225
2017-12-11 00:00:00,3.935,3.935,5.364,6.816,4.943,4.648,5.235
2017-12-12 00:00:00,3.927,3.927,5.371,6.806,4.921,4.656,5.226
2017-12-13 00:00:00,3.875,3.875,5.31,6.814,4.923,4.599,5.217
2017-12-14 00:00:00,3.864,3.864,5.298,6.826,4.893,4.588,5.226
2017-12-15 00:00:00,3.858,3.858,5.293,6.816,4.894,4.58,5.215
2017-12-18 00:00:00,3.899,3.899,5.343,6.826,4.943,4.629,5.293
2017-12-19 00:00:00,3.942,3.942,5.406,6.821,4.95,4.681,5.257
2017-12-20 00:00:00,3.998,3.998,5.406,6.82,4.99,4.722,5.224
2017-12-21 00:00:00,3.977,3.977,5.316,6.797,4.985,4.715,5.207
2017-12-22 00:00:00,3.953,3.953,5.333,6.775,4.992,4.698,5.19
2017-12-26 00:00:00,3.938,3.938,5.365,6.769,4.978,4.684,5.172
2017-12-27 00:00:00,3.875,3.875,5.331,6.756,4.925,4.632,5.146
2017-12-28 00:00:00,3.892,3.892,5.36,6.775,4.973,4.651,5.196
2017-12-29 00:00:00,3.876,3.876,5.35,6.757,4.955,4.635,5.181
2018-01-02 00:00:00,3.928,3.928,5.431,6.781,4.997,4.685,5.165
2018-01-03 00:00:00,3.91,3.91,5.419,6.733,4.966,4.681,5.118
2018-01-04 00:00:00,3.889,3.889,5.419,6.7,4.923,4.679,5.157
2018-01-05 00:00:00,3.917,3.917,5.438,6.724,4.907,4.704,5.178
2018-01-08 00:00:00,3.913,3.913,5.435,6.735,4.908,4.704,5.162
2018-01-09 00:00:00,3.97,3.97,5.51,6.754,4.933,4.78,5.122
2018-01-10 00:00:00,3.966,3.966,5.516,6.718,4.892,4.777,5.156
2018-01-11 00:00:00,3.942,3.942,5.505,6.709,4.891,4.77,5.135
2018-01-12 00:00:00,3.916,3.916,5.468,6.718,4.87,4.762,5.099
2018-01-16 00:00:00,3.914,3.914,5.458,6.74,4.869,4.761,5.112
2018-01-17 00:00:00,3.926,3.926,5.508,6.741,4.89,4.803,5.094
2018-01-18 00:00:00,3.977,3.977,5.544,6.774,4.903,4.853,5.099
2018-01-19 00:00:00,4.015,4.015,5.607,6.749,4.928,4.937,5.104
2018-01-22 00:00:00,4.005,4.005,5.584,6.711,4.88,4.92,5.109
2018-01-23 00:00:00,3.969,3.969,5.525,6.691,4.834,4.866,5.097
2018-01-24 00:00:00,3.998,3.998,5.556,6.632,4.86,4.899,5.119
2018-01-25 00:00:00,3.952,3.952,5.504,6.607,4.799,4.852,5.122
2018-01-26 00:00:00,3.994,3.994,5.545,6.631,4.822,4.894,5.112
2018-01-29 00:00:00,4.032,4.032,5.575,6.651,4.808,4.932,5.154
2018-01-30 00:00:00,4.049,4.049,5.587,6.663,4.826,4.949,5.254
2018-01-31 00:00:00,4.044,4.044,5.566,6.647,4.823,4.947,5.166
2018-02-01 00:00:00,4.129,4.129,5.638,6.678,4.875,5.032,5.229
2018-02-02 00:00:00,4.156,4.156,5.683,6.676,4.855,5.079,5.26
2021-04-02 00:00:00,3.636,3.636,4.117,6.951,4.257,4.006,4.174
2021-04-05 00:00:00,3.675,3.675,4.087,6.814,4.24,4.006,4.093
2021-04-06 00:00:00,3.605,3.605,4.096,6.796,4.208,3.998,4.069
2021-04-07 00:00:00,3.617,3.617,4.133,6.74,4.192,4.019,4.107
2021-04-08 00:00:00,3.594,3.594,4.087,6.678,4.114,3.959,4.056
2021-04-09 00:00:00,3.572,3.572,4.166,6.678,4.179,4,4.085
2021-04-12 00:00:00,3.57,3.57,4.148,6.694,4.107,3.995,4.115
2021-04-13 00:00:00,3.468,3.468,4.101,6.625,4.064,3.933,4.073
2021-04-14 00:00:00,3.556,3.556,4.118,6.746,4.064,3.933,4.101
2021-04-15 00:00:00,3.513,3.513,4.105,6.729,4.023,3.879,4.108
2022-11-22 00:00:00,5.858,5.858,6.245,8.09,6.76,6.375,6.488
2022-11-23 00:00:00,5.862,5.862,6.246,8.046,6.708,6.313,6.453
2022-11-25 00:00:00,5.86,5.86,6.13,8.048,6.7,6.31,6.406
2022-11-28 00:00:00,5.862,5.862,6.159,7.911,6.676,6.311,6.396
2022-11-29 00:00:00,5.968,5.968,6.231,7.722,6.587,6.361,6.465
2022-11-30 00:00:00,5.712,5.712,6.053,7.523,6.337,6.239,6.3
2022-12-01 00:00:00,5.612,5.612,6.011,7.424,6.2,6.138,6.387
2022-12-02 00:00:00,5.539,5.539,5.936,7.422,6.174,6.12,6.235
2022-12-05 00:00:00,5.578,5.578,6.117,7.473,6.18,6.204,6.217
2022-12-06 00:00:00,5.65,5.65,6.082,7.53,6.192,6.15,6.299
2023-02-14 00:00:00,5.593,5.593,5.925,7.087,5.547,5.861,6.152
2023-02-15 00:00:00,5.624,5.624,5.968,7.098,5.604,5.93,6.133
2023-02-16 00:00:00,5.749,5.749,6.051,7.173,5.606,5.991,6.102
2023-02-17 00:00:00,5.716,5.716,5.951,7.152,5.624,5.946,6.16
2023-02-21 00:00:00,5.875,5.875,6.338,7.26,5.728,6.077,6.234
2023-02-22 00:00:00,5.829,5.829,6.301,7.319,5.74,6.04,6.165
2023-02-23 00:00:00,5.866,5.866,6.228,7.315,5.66,6.006,6.039
2023-02-24 00:00:00,5.818,5.818,6.327,7.375,5.653,6.075,6.092
2023-02-27 00:00:00,5.841,5.841,6.3,7.324,5.658,6.059,6.049
2023-02-28 00:00:00,5.891,5.891,6.324,7.339,5.669,6.07,6.05
2023-03-01 00:00:00,5.968,5.968,6.372,7.322,5.68,6.123,6.106
2024-03-28 00:00:00,5.706,5.706,5.845,6.527,5.849,5.753,5.585
2024-04-01 00:00:00,5.831,5.831,5.961,6.551,5.836,5.853,5.653
2024-04-02 00:00:00,5.87,5.87,6.001,6.585,5.87,5.889,5.71
2024-04-03 00:00:00,5.786,5.786,5.963,6.63,5.871,5.875,5.683
2024-04-04 00:00:00,5.854,5.854,5.898,6.578,5.864,5.852,5.681
2024-04-05 00:00:00,5.899,5.899,5.986,6.645,5.936,5.932,5.745
2024-04-08 00:00:00,5.852,5.852,6.018,6.588,5.916,5.945,5.747
2024-04-09 00:00:00,5.837,5.837,5.999,6.578,5.867,5.709,5.699
2024-04-10 00:00:00,5.989,5.989,6.161,6.745,5.975,5.879,5.839
2024-04-11 00:00:00,6.041,6.041,6.216,6.704,6.095,5.924,5.884
2024-04-12 00:00:00,6.03,6.03,6.146,6.658,6.105,5.857,5.826
2024-04-15 00:00:00,6.176,6.176,6.203,6.681,6.133,5.934,5.922
2024-04-16 00:00:00,6.271,6.271,6.372,6.721,6.202,6.001,6.004
2024-04-17 00:00:00,6.163,6.163,6.226,6.622,6.173,5.943,5.921
2024-04-18 00:00:00,6.179,6.179,6.246,6.808,6.183,5.982,5.954
2024-04-19 00:00:00,6.156,6.156,6.22,6.79,6.195,5.973,5.935
2024-04-22 00:00:00,6.164,6.164,6.18,6.742,6.167,5.968,5.9
2024-04-23 00:00:00,6.113,6.113,6.166,6.712,6.17,5.964,5.892
2024-04-24 00:00:00,6.182,6.182,6.205,6.76,6.2,6.006,5.925
2024-04-25 00:00:00,6.269,6.269,6.253,6.855,6.244,6.065,5.975
2024-04-26 00:00:00,6.129,6.129,6.155,6.807,6.225,6.029,5.933
2024-04-29 00:00:00,6.085,6.085,6.158,6.775,6.186,5.981,5.873
2024-04-30 00:00:00,6.182,6.182,6.227,6.896,6.227,6.043,5.955
2024-05-01 00:00:00,6.127,6.127,6.194,6.772,6.232,5.998,5.888
2024-05-02 00:00:00,6.073,6.073,6.116,6.728,6.169,5.95,5.833
2024-05-03 00:00:00,5.953,5.953,6.048,6.774,6.139,5.878,5.754
2024-11-01 00:00:00,5.683,5.683,5.955,6.498,5.73,5.696,5.433
2024-11-04 00:00:00,5.628,5.628,5.857,6.456,5.696,5.6,5.333
2024-11-05 00:00:00,5.609,5.609,5.826,6.473,5.674,5.568,5.312
2024-11-06 00:00:00,5.703,5.703,5.921,6.613,5.783,5.677,5.401
2024-11-07 00:00:00,5.617,5.617,5.827,6.49,5.702,5.624,5.279
2024-11-08 00:00:00,5.566,5.566,5.769,6.508,5.711,5.553,5.267
2024-11-12 00:00:00,5.668,5.668,5.918,6.568,5.735,5.683,5.378
2024-11-13 00:00:00,5.713,5.713,5.951,6.547,5.76,5.846,5.413
2024-11-14 00:00:00,5.72,5.72,5.983,6.576,5.79,5.863,5.462
2024-11-15 00:00:00,5.709,5.709,5.937,6.611,5.792,5.863,5.401
2024-11-18 00:00:00,5.67,5.67,5.917,6.595,5.796,5.852,5.343
2024-11-19 00:00:00,5.674,5.674,5.932,6.617,5.807,5.87,5.349
2024-11-20 00:00:00,5.669,5.669,5.956,6.594,5.791,5.841,5.37
2024-11-21 00:00:00,5.666,5.666,5.981,6.564,5.793,5.61,5.381
2024-11-22 00:00:00,5.601,5.601,5.967,6.554,5.81,5.683,5.341
2024-11-25 00:00:00,5.482,5.482,5.834,6.454,5.743,5.498,5.22
2024-11-26 00:00:00,5.557,5.557,5.871,6.485,5.741,5.529,5.284
2024-11-27 00:00:00,5.536,5.536,5.845,6.436,5.725,5.513,5.263
2024-11-29 00:00:00,5.445,5.445,5.74,6.354,5.669,5.428,5.169
2024-12-02 00:00:00,5.444,5.444,5.751,6.364,5.693,5.448,5.152
2024-12-03 00:00:00,5.472,5.472,5.78,6.516,5.698,5.466,5.192
2024-12-04 00:00:00,5.449,5.449,5.757,6.489,5.653,5.423,5.142
2024-12-05 00:00:00,5.441,5.441,5.728,6.456,5.631,5.412,5.13
2024-12-06 00:00:00,5.458,5.458,5.698,6.465,5.588,5.387,5.105
2024-12-09 00:00:00,5.513,5.513,5.716,6.458,5.624,5.438,5.151
2024-12-10 00:00:00,5.506,5.506,5.731,6.594,5.635,5.536,5.159
2024-12-11 00:00:00,5.515,5.515,5.743,6.72,5.636,5.582,5.212
2024-12-12 00:00:00,5.533,5.533,5.808,6.777,5.678,5.639,5.282
2024-12-13 00:00:00,5.648,5.648,5.845,6.828,5.675,5.7,5.342
2024-12-16 00:00:00,5.68,5.68,5.8,6.804,5.657,5.643,5.341
2024-12-17 00:00:00,5.638,5.638,5.833,6.828,5.693,5.648,5.352
2024-12-18 00:00:00,5.79,5.79,5.998,6.87,5.738,5.749,5.489
2024-12-19 00:00:00,5.848,5.848,6.041,6.939,5.804,5.803,5.541
2024-12-20 00:00:00,5.837,5.837,5.973,6.925,5.811,5.778,5.489
2024-12-23 00:00:00,5.86,5.86,6.013,6.999,5.842,5.843,5.557
2024-12-24 00:00:00,5.831,5.831,5.994,7.011,5.853,5.842,5.53
2024-12-26 00:00:00,5.834,5.834,5.98,6.988,5.846,5.839,5.505
2024-12-27 00:00:00,5.895,5.895,6,6.981,5.848,5.906,5.553
2024-12-30 00:00:00,5.827,5.827,5.953,6.974,5.832,5.819,5.481
2024-12-31 00:00:00,5.844,5.844,6.037,6.978,5.833,5.86,5.537
2025-01-02 00:00:00,5.873,5.873,6.019,6.917,5.861,5.912,5.546
2025-01-03 00:00:00,5.875,5.875,6.053,6.949,5.894,5.926,5.577
2025-01-06 00:00:00,5.868,5.868,6.118,6.98,5.928,6.008,5.617
2025-01-07 00:00:00,5.963,5.963,6.225,6.933,5.958,6.069,5.672
2025-01-08 00:00:00,6.015,6.015,6.212,6.921,6.013,6.055,5.677
2025-01-09 00:00:00,5.993,5.993,6.206,6.967,6.048,6.052,5.676
2025-01-10 00:00:00,6.056,6.056,6.267,6.94,6.101,6.107,5.742
2025-01-13 00:00:00,6.098,6.098,6.268,6.918,6.134,6.161,5.752
2025-01-14 00:00:00,6.107,6.107,6.275,6.845,6.166,6.163,5.793
2025-01-15 00:00:00,5.93,5.93,6.115,6.751,6.104,6.04,5.646
2025-01-16 00:00:00,5.92,5.92,6.09,6.76,6.132,6,5.617
2025-01-17 00:00:00,5.93,5.93,6.111,6.746,6.128,6.013,5.612
2025-01-21 00:00:00,5.82,5.82,6.065,6.725,6.071,5.97,5.565
2025-01-22 00:00:00,5.875,5.875,6.11,6.715,6.061,5.993,5.581
2025-01-23 00:00:00,5.963,5.963,6.171,6.686,6.088,6.073,5.61
2025-01-24 00:00:00,5.902,5.902,6.162,6.661,6.058,6.056,5.58
2025-01-27 00:00:00,5.773,5.773,6.105,6.707,6.047,5.971,5.498
2025-01-28 00:00:00,5.823,5.823,6.079,6.633,6.044,5.966,5.468
2025-01-29 00:00:00,5.805,5.805,6.095,6.648,5.993,5.959,5.483
2025-01-30 00:00:00,5.827,5.827,6.083,6.658,5.996,5.96,5.476
2025-01-31 00:00:00,5.812,5.812,6.096,6.638,5.917,5.989,5.508
2025-02-03 00:00:00,5.896,5.896,6.132,6.657,5.996,5.991,5.527
2025-02-04 00:00:00,5.818,5.818,6.09,6.644,5.941,5.942,5.489
2025-02-05 00:00:00,5.703,5.703,5.983,6.598,5.886,5.856,5.394
2025-02-06 00:00:00,5.769,5.769,6.001,6.611,5.882,5.853,5.438
2025-02-07 00:00:00,5.818,5.818,6.057,6.658,5.919,5.922,5.518
2025-02-10 00:00:00,5.813,5.813,6.037,6.563,5.899,5.918,5.511
2025-02-11 00:00:00,5.837,5.837,6.068,6.597,5.945,5.902,5.555
2025-02-12 00:00:00,5.904,5.904,6.16,6.665,6.038,6.03,5.62
2025-02-13 00:00:00,5.831,5.831,6.062,6.545,5.945,5.948,5.544
2025-02-14 00:00:00,5.755,5.755,5.998,6.572,5.902,5.866,5.459
2025-02-18 00:00:00,5.784,5.784,6.044,6.596,5.956,5.93,5.549
2025-02-19 00:00:00,5.842,5.842,6.043,6.604,5.945,5.921,5.517
2025-02-20 00:00:00,5.838,5.838,6.042,6.621,5.912,5.89,5.519
2025-02-21 00:00:00,5.778,5.778,5.972,6.651,5.885,5.85,5.461
2025-02-24 00:00:00,5.746,5.746,5.932,6.664,5.813,5.794,5.424
2025-02-25 00:00:00,5.667,5.667,5.847,6.68,5.778,5.705,5.317
2025-02-26 00:00:00,5.566,5.566,5.844,6.664,5.756,5.659,5.268
2025-02-27 00:00:00,5.675,5.675,5.898,6.661,5.728,5.646,5.281
2025-02-28 00:00:00,5.665,5.665,5.913,6.654,5.695,5.584,5.273
2025-03-03 00:00:00,5.626,5.626,5.869,6.625,5.652,5.523,5.196
2025-03-04 00:00:00,5.699,5.699,5.921,6.629,5.668,5.599,5.3
2025-03-05 00:00:00,5.71,5.71,5.906,6.648,5.659,5.636,5.328
2025-03-06 00:00:00,5.731,5.731,5.906,6.682,5.693,5.629,5.328
2025-03-07 00:00:00,5.743,5.743,5.909,6.693,5.658,5.648,5.351
2025-03-10 00:00:00,5.705,5.705,5.873,6.671,5.63,5.564,5.321
